,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,1,1.0,1.0,0.9090909090909091,10,1,1.0,1.0,0.9090909090909091,10,0.03336334228515625,1
1,3,3.0,1.0,0.7692307692307693,10,3,3.0,0.9166666666666666,0.8461538461538461,12,0.00591278076171875,2
2,0,0.0,1.0,1.0,8,0,0.0,1.0,1.0,8,0.01714324951171875,3
3,0,0.0,1.0,1.0,11,3,3.0,0.7857142857142857,1.0,14,0.00070953369140625,4
4,0,0.0,1.0,1.0,8,0,0.0,1.0,1.0,8,0.00084686279296875,5
5,1,1.0,1.0,0.9,9,3,3.0,0.7692307692307693,1.0,13,0.00074005126953125,6
6,2,2.0,0.9285714285714286,0.9285714285714286,14,3,3.0,0.8666666666666667,0.9285714285714286,15,0.00069427490234375,7
7,1,1.0,1.0,0.875,7,2,2.0,0.875,0.875,8,0.02062225341796875,8
8,2,2.0,0.8333333333333334,0.8333333333333334,6,3,3.0,0.8,0.6666666666666666,5,0.06266021728515625,9
9,0,0.0,1.0,1.0,7,3,3.0,0.7,1.0,10,0.00121307373046875,10
