,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,3,3.0,0.9523809523809523,0.9090909090909091,21,3,3.0,0.9130434782608695,0.9545454545454546,23,0.00223541259765625,1
1,9,9.0,0.6923076923076923,0.9473684210526315,26,6,6.0,0.8421052631578947,0.8421052631578947,19,0.19315338134765625,2
2,10,10.0,0.7575757575757576,0.9259259259259259,33,7,7.0,0.8571428571428571,0.8888888888888888,28,0.14459991455078125,3
3,0,0.0,1.0,1.0,15,1,1.0,0.9375,1.0,16,0.03578948974609375,4
4,4,4.0,0.8333333333333334,1.0,24,3,3.0,0.9047619047619048,0.95,21,0.11797332763671875,5
5,10,10.0,0.6521739130434783,0.8823529411764706,23,8,8.0,0.7647058823529411,0.7647058823529411,17,0.11476898193359375,6
6,12,12.0,0.6206896551724138,0.9473684210526315,29,5,5.0,0.85,0.8947368421052632,20,0.14923858642578125,7
7,11,11.0,0.6521739130434783,0.8333333333333334,23,11,11.0,0.7333333333333333,0.6111111111111112,15,0.13751983642578125,8
8,17,17.0,0.6285714285714286,0.8461538461538461,35,10,10.0,0.8076923076923077,0.8076923076923077,26,0.16487884521484375,9
9,9,9.0,0.6363636363636364,0.9333333333333333,22,8,8.0,0.8888888888888888,0.5333333333333333,9,0.15991973876953125,10
