,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,32,32.0,0.8548387096774194,0.6973684210526315,62,32,32.0,0.9074074074074074,0.6447368421052632,54,0.09659576416015625,1
1,22,22.0,0.918918918918919,0.8095238095238095,74,26,26.0,0.9264705882352942,0.75,68,0.10254669189453125,2
2,28,28.0,0.8103448275862069,0.734375,58,30,30.0,0.8695652173913043,0.625,46,0.16378021240234375,3
3,36,36.0,0.9130434782608695,0.6774193548387096,69,39,39.0,0.9655172413793104,0.6021505376344086,58,0.08983612060546875,4
4,30,30.0,0.8611111111111112,0.7560975609756098,72,31,31.0,0.9047619047619048,0.6951219512195121,63,0.13150787353515625,5
5,28,28.0,0.8909090909090909,0.6901408450704225,55,37,37.0,0.925,0.5211267605633803,40,0.10216522216796875,6
6,25,25.0,0.8813559322033898,0.7428571428571429,59,29,29.0,0.9361702127659575,0.6285714285714286,47,0.11634063720703125,7
7,22,22.0,1.0,0.7349397590361446,61,22,22.0,0.9841269841269841,0.7469879518072289,63,0.03520965576171875,8
8,27,27.0,0.8648648648648649,0.7901234567901234,74,29,29.0,0.9333333333333333,0.691358024691358,60,0.09662628173828125,9
9,29,29.0,0.8939393939393939,0.7283950617283951,66,26,26.0,0.9661016949152542,0.7037037037037037,59,0.10024261474609375,10
