,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,0,0.0,1.0,1.0,8,0,0.0,1.0,1.0,8,0.02031707763671875,1
1,0,0.0,1.0,1.0,10,0,0.0,1.0,1.0,10,0.02521514892578125,2
2,0,0.0,1.0,1.0,7,1,1.0,0.875,1.0,8,0.02938079833984375,3
3,0,0.0,1.0,1.0,11,2,2.0,0.8461538461538461,1.0,13,0.00783538818359375,4
4,4,4.0,0.8333333333333334,0.8333333333333334,12,4,4.0,0.8333333333333334,0.8333333333333334,12,0.01090240478515625,5
5,2,2.0,1.0,0.8461538461538461,11,2,2.0,0.9230769230769231,0.9230769230769231,13,0.00859832763671875,6
6,0,0.0,1.0,1.0,9,0,0.0,1.0,1.0,9,0.02068328857421875,7
7,3,3.0,0.8888888888888888,0.8,9,4,4.0,0.8,0.8,10,0.00383758544921875,8
8,0,0.0,1.0,1.0,8,2,2.0,0.8,1.0,10,0.00960540771484375,9
9,0,0.0,1.0,1.0,6,0,0.0,1.0,1.0,6,0.00135040283203125,10
