,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,6,6.0,1.0,0.85,34,6,6.0,0.9722222222222222,0.875,36,0.00116729736328125,1
1,6,6.0,0.9473684210526315,0.9,38,9,9.0,0.8780487804878049,0.9,41,0.02519989013671875,2
2,11,11.0,0.9696969696969697,0.7619047619047619,33,13,13.0,0.9142857142857143,0.7619047619047619,35,0.00782012939453125,3
3,7,7.0,0.9714285714285714,0.85,35,7,7.0,0.9714285714285714,0.85,35,0.03925323486328125,4
4,9,9.0,0.9666666666666667,0.7837837837837838,30,8,8.0,0.9393939393939394,0.8378378378378378,33,0.00168609619140625,5
5,0,0.0,1.0,1.0,39,1,1.0,0.975,1.0,40,0.01082611083984375,6
6,5,5.0,1.0,0.875,35,6,6.0,0.9473684210526315,0.9,38,0.01194000244140625,7
7,4,4.0,1.0,0.8974358974358975,35,3,3.0,1.0,0.9230769230769231,36,0.00234222412109375,8
8,19,19.0,0.9166666666666666,0.5641025641025641,24,16,16.0,0.896551724137931,0.6666666666666666,29,0.00106048583984375,9
9,3,3.0,1.0,0.918918918918919,34,3,3.0,0.9722222222222222,0.9459459459459459,36,0.00304412841796875,10
