,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,6,6.0,0.925,0.925,40,6,6.0,0.9047619047619048,0.95,42,0.00130462646484375,1
1,16,16.0,0.96,0.6153846153846154,25,10,10.0,0.9393939393939394,0.7948717948717948,33,0.00579071044921875,2
2,7,7.0,1.0,0.8108108108108109,30,8,8.0,0.967741935483871,0.8108108108108109,31,0.04817962646484375,3
3,4,4.0,0.9696969696969697,0.9142857142857143,33,3,3.0,0.9705882352941176,0.9428571428571428,34,0.00624847412109375,4
4,11,11.0,0.875,0.8,32,10,10.0,0.8378378378378378,0.8857142857142857,37,0.00093841552734375,5
5,15,15.0,0.8709677419354839,0.7105263157894737,31,14,14.0,0.8333333333333334,0.7894736842105263,36,0.01732635498046875,6
6,15,15.0,0.90625,0.7073170731707317,32,17,17.0,0.8157894736842105,0.7560975609756098,38,0.00223541259765625,7
7,8,8.0,0.9696969696969697,0.8205128205128205,33,9,9.0,0.96875,0.7948717948717948,32,0.06533050537109375,8
8,5,5.0,0.925,0.9487179487179487,40,5,5.0,0.925,0.9487179487179487,40,0.05014801025390625,9
9,5,5.0,1.0,0.8837209302325582,38,4,4.0,0.975609756097561,0.9302325581395349,41,0.00255584716796875,10
