,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,22,22.0,0.8846153846153846,0.5476190476190477,26,21,21.0,0.8181818181818182,0.6428571428571429,33,0.00147247314453125,1
1,9,9.0,0.9428571428571428,0.825,35,9,9.0,0.8780487804878049,0.9,41,0.00090789794921875,2
2,25,25.0,0.7878787878787878,0.5909090909090909,33,25,25.0,0.7435897435897436,0.6590909090909091,39,0.00090789794921875,3
3,9,9.0,1.0,0.775,31,13,13.0,0.8857142857142857,0.775,35,0.00077056884765625,4
4,6,6.0,0.9743589743589743,0.8837209302325582,39,6,6.0,0.9512195121951219,0.9069767441860465,41,0.00080108642578125,5
5,10,10.0,1.0,0.7435897435897436,29,8,8.0,0.9696969696969697,0.8205128205128205,33,0.00336456298828125,6
6,16,16.0,1.0,0.6190476190476191,26,13,13.0,0.9393939393939394,0.7380952380952381,33,0.00399017333984375,7
7,10,10.0,0.9705882352941176,0.7857142857142857,34,10,10.0,0.9444444444444444,0.8095238095238095,36,0.00521087646484375,8
8,12,12.0,0.9428571428571428,0.7674418604651163,35,11,11.0,0.9444444444444444,0.7906976744186046,36,0.01792144775390625,9
9,20,20.0,0.8529411764705882,0.6590909090909091,34,19,19.0,0.8571428571428571,0.6818181818181818,35,0.02622222900390625,10
