,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,6,6.0,0.7692307692307693,1.0,26,5,5.0,0.8947368421052632,0.85,19,0.11191558837890625,1
1,0,0.0,1.0,1.0,19,1,1.0,0.95,1.0,20,0.00547027587890625,2
2,7,7.0,0.6875,0.8461538461538461,16,3,3.0,1.0,0.7692307692307693,10,0.10231781005859375,3
3,0,0.0,1.0,1.0,20,2,2.0,0.9090909090909091,1.0,22,0.00225067138671875,4
4,9,9.0,0.6785714285714286,1.0,28,4,4.0,0.9411764705882353,0.8421052631578947,17,0.12770843505859375,5
5,6,6.0,0.7692307692307693,1.0,26,5,5.0,1.0,0.75,15,0.12497711181640625,6
6,8,8.0,0.7333333333333333,1.0,30,5,5.0,0.9047619047619048,0.8636363636363636,21,0.11670684814453125,7
7,9,9.0,0.6896551724137931,1.0,29,5,5.0,0.9411764705882353,0.8,17,0.12184906005859375,8
8,13,13.0,0.5862068965517241,0.9444444444444444,29,15,15.0,0.7142857142857143,0.2777777777777778,7,0.16724395751953125,9
9,8,8.0,0.7714285714285715,1.0,35,12,12.0,0.9411764705882353,0.5925925925925926,17,0.12384796142578125,10
