Method,p10_e10_shd_mean,p10_e10_shd_std,p10_e40_shd_mean,p10_e40_shd_std,p20_e20_shd_mean,p20_e20_shd_std,p20_e80_shd_mean,p20_e80_shd_std
DCD,6.6,3.6,24.4,6.0,18.2,15.8,56.7,10.2
DCD-no-interv,8.9,2.8,26.7,5.9,24.6,20.5,64.4,11.4
DCDI-G,1.3,1.9,3.3,2.1,5.4,4.5,23.7,5.6
DCDI-DSF,0.9,1.3,3.7,2.3,3.6,2.7,16.6,6.4
