Method,p10_e10_shd_mean,p10_e10_shd_std,p10_e40_shd_mean,p10_e40_shd_std,p20_e20_shd_mean,p20_e20_shd_std,p20_e80_shd_mean,p20_e80_shd_std
DCD,5.9,6.9,15.7,4.9,28.7,13.0,29.3,8.9
DCD-no-interv,11.0,9.3,18.4,6.4,16.5,22.8,31.6,11.3
DCDI-G,2.3,3.6,2.4,1.6,13.9,20.3,16.8,8.7
DCDI-DSF,7.0,10.7,1.6,1.6,8.3,4.1,11.8,2.1
