,Name,0.1_dag_shd,shd,epoch,Hostname,score,dataset_name,recall_mask,fraction_edges_mask,State,Notes,User,Tags,Created,Runtime,Sweep,adapt_to_n,batch_size,model_kwargs.dim_hidden,model_kwargs.num_layers,model_kwargs.power_iteration_n_steps,number_of_samples,stage1_kwargs.alpha,stage1_kwargs.batch_size,stage1_kwargs.beta,stage1_kwargs.gamma_increment,stage1_kwargs.learning_rate,stage1_kwargs.mask_threshold,stage1_kwargs.n_epochs,stage1_kwargs.n_epochs_check,stage2_kwargs.alpha,stage2_kwargs.batch_size,stage2_kwargs.beta,stage2_kwargs.dag_penalty_flavor,stage2_kwargs.freeze_gamma_at_dag,stage2_kwargs.freeze_gamma_threshold,stage2_kwargs.gamma_increment,stage2_kwargs.gamma_schedule,stage2_kwargs.learning_rate,stage2_kwargs.n_epochs,stage2_kwargs.n_epochs_check,stage2_kwargs.threshold,alpha,dag,epoch_loss,gamma,is_prescreen,l1,l2,n_edges_pred,n_edges_pred_double_th,n_edges_pred_half_th,nll,precision,precision_double_th,precision_half_th,recall,recall_double_th,recall_half_th,score_double_th,score_half_th,shd_double_th,shd_half_th,validation_loss,0.05_n_edges_pred,0.05_precision,0.05_recall,0.05_score,0.05_shd,0.1_dag_n_edges_pred,0.1_dag_precision,0.1_dag_recall,0.1_dag_score,0.1_n_edges_pred,0.1_precision,0.1_recall,0.1_score,0.1_shd,0.3_n_edges_pred,0.3_precision,0.3_recall,0.3_score,0.3_shd,dataset_i,run_id,seed,stage2_n_epochs,nodes_edges
15,data_p20_e80_n10000_nn_struct_5,16,16,3600,statler,16,data_p20_e80_n10000_nn_struct,0.9390243902439024,0.33,finished,-,achille,,2023-10-04T16:31:36.000Z,1465,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.3991612428799272,13.145038455724716,5.102551275637818,0,0.0950883266050368,1.99291904643178,72,69,75,9.020290285348892,0.9583333333333334,0.9855072463768116,0.9333333333333332,0.8414634146341463,0.8292682926829268,0.8536585365853658,15,17,15,17,72.72713470458984,75,0.9333333333333332,0.8536585365853658,17,17,72,0.9583333333333334,0.8414634146341463,16,72,0.9583333333333334,0.8414634146341463,16,16,69,0.9855072463768116,0.8292682926829268,15,15,5,4,0,2000,p20_e80
16,data_p20_e80_n10000_nn_struct_4,16,18,3180,statler,23,data_p20_e80_n10000_nn_struct,0.967741935483871,0.325,finished,-,achille,,2023-10-04T16:31:36.000Z,1299,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.3262213375419378,14.889753222465515,4.902451225612806,0,0.0999389656353742,1.887288887053728,82,75,82,11.303241282701492,0.926829268292683,0.96,0.926829268292683,0.8172043010752689,0.7741935483870968,0.8172043010752689,24,23,21,18,91.36019897460938,85,0.9294117647058824,0.8494623655913979,20,15,81,0.9506172839506172,0.8279569892473119,20,81,0.9506172839506172,0.8279569892473119,20,16,75,0.9733333333333334,0.7849462365591398,22,20,4,4,0,2000,p20_e80
17,data_p20_e80_n10000_nn_struct_8,15,15,3821,statler,15,data_p20_e80_n10000_nn_struct,0.8674698795180723,0.2875,finished,-,achille,,2023-10-04T16:31:36.000Z,1567,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.2868568850681185,14.02756404876709,4.00200100050025,0,0.0804837939795106,1.5961413569748402,70,67,71,11.20293739438057,0.9857142857142858,0.9850746268656716,0.971830985915493,0.8313253012048193,0.7951807228915663,0.8313253012048193,18,16,18,16,90.33789539337158,71,0.971830985915493,0.8313253012048193,16,16,70,0.9857142857142858,0.8313253012048193,15,70,0.9857142857142858,0.8313253012048193,15,15,62,1.0,0.7469879518072289,21,21,8,4,0,2000,p20_e80
18,data_p20_e80_n10000_nn_struct_9,15,15,3201,statler,18,data_p20_e80_n10000_nn_struct,0.9506172839506172,0.2925,finished,-,achille,,2023-10-04T16:31:36.000Z,1357,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.2030980545096099,15.05786281824112,8.204102051025513,0,0.102960487594828,1.949462827295065,77,75,77,11.33920207619667,0.9090909090909092,0.9333333333333332,0.9090909090909092,0.8641975308641975,0.8641975308641975,0.8641975308641975,16,18,14,15,91.15216445922852,77,0.9090909090909092,0.8641975308641975,18,15,77,0.9090909090909092,0.8641975308641975,18,77,0.9090909090909092,0.8641975308641975,18,15,73,0.9315068493150684,0.8395061728395061,18,16,9,4,0,2000,p20_e80
19,data_p20_e80_n10000_nnadd_struct_9,14,14,3361,rowlf,14,data_p20_e80_n10000_nnadd_struct,0.975,0.41,finished,-,achille,,2023-10-04T16:30:03.000Z,1199,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.507569307461381,10.499977171421053,9.504752376188094,0,0.0988833077717572,3.8976185247302055,86,79,87,1.6791547387838364,0.8837209302325582,0.9367088607594936,0.8735632183908046,0.95,0.925,0.95,11,15,11,15,18.69606304168701,87,0.8735632183908046,0.95,15,15,86,0.8837209302325582,0.95,14,86,0.8837209302325582,0.95,14,14,76,0.9473684210526316,0.9,12,12,9,4,0,2000,p20_e80
20,data_p20_e80_n10000_nn_struct_7,14,13,3720,statler,14,data_p20_e80_n10000_nn_struct,0.9857142857142858,0.3025,finished,-,achille,,2023-10-04T16:31:36.000Z,1508,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.1729263262823224,14.62912619113922,7.603801900950475,0,0.0947216586209833,1.9533966854214668,62,60,62,11.26611030101776,0.9516129032258064,0.95,0.9516129032258064,0.8428571428571429,0.8142857142857143,0.8428571428571429,16,14,15,13,89.77039051055908,67,0.9104477611940298,0.8714285714285714,15,12,63,0.9365079365079364,0.8428571428571429,15,63,0.9365079365079364,0.8428571428571429,15,14,57,0.9298245614035088,0.7571428571428571,21,20,7,4,0,2000,p20_e80
21,data_p20_e80_n10000_nn_struct_6,13,14,3861,statler,17,data_p20_e80_n10000_nn_struct,0.971830985915493,0.295,finished,-,achille,,2023-10-04T16:31:36.000Z,1578,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.2284438563510775,16.022367030382156,7.403701850925462,0,0.0767002918291837,1.5446193739771843,70,67,70,12.709716945886612,0.8857142857142857,0.9104477611940298,0.8857142857142857,0.8732394366197183,0.8591549295774648,0.8732394366197183,16,17,13,14,102.55381870269775,70,0.8857142857142857,0.8732394366197183,17,14,69,0.8985507246376812,0.8732394366197183,16,69,0.8985507246376812,0.8732394366197183,16,13,65,0.9076923076923076,0.8309859154929577,18,15,6,4,0,2000,p20_e80
22,data_p20_e80_n10000_nn_struct_3,13,14,3501,statler,15,data_p20_e80_n10000_nn_struct,0.96875,0.29,finished,-,achille,,2023-10-04T16:31:36.000Z,1469,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.3568613212555647,17.35124146938324,9.504752376188094,0,0.0972105741966515,2.8153214305639267,69,66,69,11.046830952167513,0.855072463768116,0.8787878787878788,0.855072463768116,0.921875,0.90625,0.921875,14,15,13,14,89.45344352722168,69,0.855072463768116,0.921875,15,14,68,0.8676470588235294,0.921875,14,68,0.8676470588235294,0.921875,14,13,65,0.8923076923076924,0.90625,13,12,3,4,0,2000,p20_e80
23,data_p20_e80_n10000_nnadd_struct_5,12,12,3821,rowlf,13,data_p20_e80_n10000_nnadd_struct,0.9855072463768116,0.3525,finished,-,achille,,2023-10-04T16:30:03.000Z,1166,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.4840164994820952,12.19608137011528,9.504752376188094,0,0.0791672852355986,3.577078714966774,68,66,72,3.939378544688225,0.9117647058823528,0.9242424242424242,0.875,0.8985507246376812,0.8840579710144928,0.9130434782608696,13,15,12,14,31.906110286712646,72,0.875,0.9130434782608696,15,14,68,0.9117647058823528,0.8985507246376812,13,68,0.9117647058823528,0.8985507246376812,13,12,64,0.9375,0.8695652173913043,13,12,5,4,0,2000,p20_e80
24,data_p20_e80_n10000_nn_struct_1,12,16,3101,statler,16,data_p20_e80_n10000_nn_struct,0.986842105263158,0.3175,finished,-,achille,,2023-10-04T16:31:36.000Z,1287,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.3114375378936529,14.243846327066422,6.4032016008004,0,0.0949462186545133,2.028007440268994,72,69,75,10.126695364713669,0.9166666666666666,0.9420289855072465,0.9066666666666666,0.868421052631579,0.8552631578947368,0.8947368421052632,15,15,15,15,81.3265438079834,78,0.8974358974358975,0.9210526315789472,14,14,74,0.9324324324324323,0.9078947368421052,12,74,0.9324324324324323,0.9078947368421052,12,12,68,0.9411764705882352,0.8421052631578947,16,16,1,4,0,2000,p20_e80
25,data_p10_e40_n10000_nn_struct_1,11,12,2840,statler,14,data_p10_e40_n10000_nn_struct,0.9047619047619048,0.6,finished,-,achille,,2023-10-04T16:31:36.000Z,1038,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.4249263051897287,7.466607600450516,3.2016008004002,0,0.0434523076983168,1.003375332802534,32,30,34,5.059335544705391,0.9375,0.9666666666666668,0.9411764705882352,0.7142857142857143,0.6904761904761905,0.7619047619047619,14,12,13,10,39.66935062408447,35,0.9428571428571428,0.7857142857142857,11,9,33,0.9393939393939394,0.7380952380952381,13,33,0.9393939393939394,0.7380952380952381,13,11,29,1.0,0.6904761904761905,13,13,1,4,0,2000,p10_e40
26,data_p10_e40_n10000_nn_struct_4,11,11,3821,statler,12,data_p10_e40_n10000_nn_struct,0.925,0.59,finished,-,achille,,2023-10-04T16:31:36.000Z,1429,,False,256,10,1,15,8000,0.01,256,0.0002,0,0.002,0.2,2000,100,0.0005,256,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000,100,0.1,0.0005,0.1658233809284866,9.007650822401049,1.9009504752376187,0,0.0359771871007978,0.72745674662292,30,28,30,7.928994864225388,0.9666666666666668,1.0,0.9666666666666668,0.725,0.7,0.725,12,12,12,11,63.705894947052,30,0.9666666666666668,0.725,12,11,30,0.9666666666666668,0.725,12,30,0.9666666666666668,0.725,12,11,28,1.0,0.7,12,12,4,4,0,2000,p10_e40
