,Name,shd,train_time,seed,epoch,Runtime,Hostname,d,model,State,Notes,User,Tags,Created,Sweep,adapt_to_n,batch_size,model_kwargs.dim_hidden,model_kwargs.num_layers,model_kwargs.power_iteration_n_steps,n,number_of_samples,p,s,stage1_kwargs.alpha,stage1_kwargs.batch_size,stage1_kwargs.beta,stage1_kwargs.gamma_increment,stage1_kwargs.learning_rate,stage1_kwargs.mask_threshold,stage1_kwargs.n_epochs,stage1_kwargs.n_epochs_check,stage2_kwargs.alpha,stage2_kwargs.batch_size,stage2_kwargs.beta,stage2_kwargs.dag_penalty_flavor,stage2_kwargs.freeze_gamma_at_dag,stage2_kwargs.freeze_gamma_threshold,stage2_kwargs.gamma_increment,stage2_kwargs.gamma_schedule,stage2_kwargs.learning_rate,stage2_kwargs.n_epochs,stage2_kwargs.n_epochs_check,stage2_kwargs.threshold,num_modules,constraint_mode,hid_dim,lr_init,nonlin,num_layers,num_vars,reg_coeff,alpha,dag,epoch_loss,gamma,is_prescreen,l1,l2,n_edges_pred,n_edges_pred_double_th,n_edges_pred_half_th,nll,precision,precision_double_th,precision_half_th,recall,recall_double_th,recall_half_th,score,score_double_th,score_half_th,shd_double_th,shd_half_th,validation_loss,Aug_lag/gamma,Aug_lag/mu,Monitor/checkup,Train/aug_lagrangian,Train/nll,Train/not_nll,Val/acyclic,Val/aug_lagrangian,Val/constraint_violation,Val/nll,Val/not_nll,Val/reg_value,fraction_edges_mask,h_val,inner_iter,lr,mu,recall_mask,trainer/global_step,Monitor/stationary,w_threshold
24,DAGMA,26.0,7787.783874034882,2,,7798,yolanda,10,DAGMA,finished,-,achille,,2023-10-05T06:27:04.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,0.7272727272727273,,,0.4,,,30.0,,,,,,,,,,,,,,,,,,,6.75739822473e-05,54000.0,0.0002,0.0001,,,,
25,sortnregress,32.0,0.1639215946197509,1,,12,yolanda,10,Sortnregress,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,0.5238095238095238,,,0.275,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SDCI-warm-nomask,25.0,472.38974809646606,1,3621.0,485,yolanda,10,SDCI-warm-nomask,finished,-,achille,,2023-10-11T14:05:49.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.518091008067131,3.418675720691681,9.504752376188094,0.0,0.0319400805747136,2.2675711438059807,32.0,30.0,35.0,-3.805162139236927,0.59375,0.6333333333333333,0.5714285714285714,0.475,0.475,0.5,34.0,32.0,35.0,25.0,25.0,-28.888588666915897,,,,,,,,,,,,,0.9,,,,,1.0,,,
27,SDCI-warm,22.0,469.9688005447388,1,3621.0,480,yolanda,10,SDCI-warm,finished,-,achille,,2023-10-11T14:05:49.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.5160006433725357,3.36483770608902,9.504752376188094,0.0,0.0331842622254043,2.272235870361328,32.0,29.0,34.0,-3.8450406715273857,0.65625,0.6896551724137931,0.6176470588235294,0.525,0.5,0.525,30.0,29.0,32.0,22.0,22.0,-29.692946195602417,,,,,,,,,,,,,0.77,,,,,0.975,,,
28,SDCI-no-s1-2,22.0,287.93859004974365,1,1981.0,296,yolanda,10,SDCI-no-s1-2,finished,-,achille,,2023-10-11T00:54:32.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,-1.0,0.0,100.0,0.01,256.0,0.0002,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.01,0.4946049693971872,0.4198322519659996,9.504752376188094,0.0,0.4072041790932417,0.327672392129898,29.0,27.0,33.0,-5.016141980886459,0.7586206896551724,0.7777777777777778,0.7878787878787878,0.55,0.525,0.65,25.0,25.0,21.0,22.0,18.0,-39.18977403640747,,,,,,,,,,,,,0.9,,,,,1.0,,,
29,SDCI-no-s1,25.0,282.7401216030121,1,1981.0,293,yolanda,10,SDCI,finished,-,achille,,2023-10-07T21:27:48.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,-1.0,0.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.5015377346426249,3.33417883515358,9.504752376188094,0.0,0.0329977377550676,2.2567482590675354,32.0,30.0,37.0,-3.7225590273737903,0.59375,0.6333333333333333,0.5675675675675675,0.475,0.475,0.525,34.0,32.0,35.0,25.0,24.0,-29.17453122138977,,,,,,,,,,,,,0.9,,,,,1.0,,,
31,SDCI,22.0,614.457332611084,1,3621.0,626,yolanda,10,SDCI,finished,-,achille,,2023-10-05T06:23:16.000Z,,False,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.5062524694949389,3.6586630791425705,9.504752376188094,0.0,0.0328808869235217,2.531082339584827,30.0,25.0,34.0,-3.717104382812977,0.6666666666666666,0.68,0.6176470588235294,0.5,0.425,0.525,30.0,31.0,32.0,25.0,22.0,-29.08144974708557,,,,,,,,,,,,,0.77,,,,,0.975,,,
32,NOTEARS,39.0,21.02274274826049,1,,31,yolanda,10,NOTEARS,finished,-,achille,,2023-10-05T06:23:56.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,0.1818181818181818,,,0.05,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.536743164e-06
33,NOBEARS,39.0,32.71885132789612,1,,43,yolanda,10,NOBEARS,finished,-,achille,,2023-10-05T06:23:56.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0.3333333333333333,,,0.05,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.066995620727539
34,GIES,27.0,0.6509621143341064,1,,10,yolanda,10,GIES,finished,-,achille,,2023-10-05T06:24:14.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,0.4782608695652174,,,0.55,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
