"Name","d","s","intervention_frac","seed","shd","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","constraint_mode","hid_dim","lr_init","model","model_kwargs.dim_hidden","model_kwargs.num_layers","model_kwargs.power_iteration_n_steps","n","nonlin","num_layers","num_modules","num_vars","number_of_samples","p","reg_coeff","stage1_kwargs.alpha","stage1_kwargs.batch_size","stage1_kwargs.beta","stage1_kwargs.gamma_increment","stage1_kwargs.learning_rate","stage1_kwargs.mask_threshold","stage1_kwargs.n_epochs","stage1_kwargs.n_epochs_check","stage2_kwargs.alpha","stage2_kwargs.batch_size","stage2_kwargs.beta","stage2_kwargs.dag_penalty_flavor","stage2_kwargs.freeze_gamma_at_dag","stage2_kwargs.freeze_gamma_threshold","stage2_kwargs.gamma_increment","stage2_kwargs.gamma_schedule","stage2_kwargs.learning_rate","stage2_kwargs.n_epochs","stage2_kwargs.n_epochs_check","stage2_kwargs.threshold","Aug_lag/gamma","Aug_lag/mu","Monitor/checkup","Monitor/stationary","Train/aug_lagrangian","Train/nll","Train/not_nll","Val/acyclic","Val/aug_lagrangian","Val/constraint_violation","Val/nll","Val/not_nll","Val/reg_value","alpha","dag","epoch","epoch_loss","fraction_edges_mask","gamma","is_prescreen","l1","l2","n_edges_pred","n_edges_pred_double_th","n_edges_pred_half_th","nll","precision","precision_double_th","precision_half_th","recall","recall_double_th","recall_half_th","recall_mask","score","score_double_th","score_half_th","shd_double_th","shd_half_th","train_time","trainer/global_step","validation_loss"
"DCDI","30","2","0.75","3","60","finished","-","achille","","2023-10-10T10:25:31.000Z","5078","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","12164567924736","1.2980742067446983e+25","640","197","-0.06208036094903946","-0.07469428330659866","0.012613922357559204","1","-0.03216082230210304","0","-0.04477493464946747","0.012614112347364426","0.12614108622074127","","","1277","","","","","","","114","","","","0.47368421052631576","","","0.9","","","","66","","","","","5063.93700504303","172529",""
"DCDI","30","4","0.75","3","60","finished","-","achille","","2023-10-10T10:23:41.000Z","5888","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","2352857743360","1.6225927584308732e+24","764","189","-0.04475245252251625","-0.06309164315462112","0.018339190632104874","1","-0.024871760979294777","5.336810079924218e-18","-0.04321117326617241","0.018339412286877632","0.18326853215694427","","","1524","","","","","","","166","","","","0.6566265060240963","","","0.9083333333333332","","","","68","","","","","5873.731691360474","205874",""
"DCDI","30","4","0.75","5","62","finished","-","achille","","2023-10-10T10:22:18.000Z","5336","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","1438750605312","8.112963792154366e+23","645","184","-0.27028709650039673","-0.29078686237335205","0.02049976587295532","1","-0.2672601342201233","5.5745398192821e-16","-0.28772497177124023","0.020464837551116943","0.19662685692310333","","","1286","","","","","","","177","","","","0.6610169491525424","","","0.975","","","","63","","","","","5322.171702384949","173744",""
"SDCI","30","6","1","3","47","finished","-","achille","","2023-10-10T10:19:12.000Z","4433","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","1.0204330026348936","3241","9.62404430968852","0.32555555555555554","9.504752376188094","0","0.271337027036691","5.911558531507661","186","180","189","-6.257814033122003","0.8548387096774194","0.8611111111111112","0.8465608465608465","0.8833333333333333","0.8611111111111112","0.8888888888888888","0.9222222222222224","48","50","49","49","48","4417.509215831757","","-125.12633609771729"
"DCDI","40","4","1","5","65","finished","-","achille","","2023-10-10T10:18:40.000Z","3450","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","62109152700268540","8.711228540233786e+32","754","234","-0.041250262409448624","-0.0538414791226387","0.01259121671319008","1","-0.004175005480647087","8.81059370617516e-23","-0.016766292974352837","0.01259128749370575","0.1258581578731537","","","1504","","","","","","","201","","","","0.7263681592039801","","","0.9125","","","","69","","","","","3439.327151298523","282939",""
"SDCI","30","2","1","4","16","finished","-","achille","","2023-10-10T10:18:05.000Z","5003","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.8849882060968424","3980","12.644232448143295","0.1388888888888889","9.504752376188094","0","0.13332077804245526","5.369209796567507","70","65","71","-1.2698917434185366","0.8","0.8615384615384616","0.7887323943661971","0.9333333333333332","0.9333333333333332","0.9333333333333332","1","18","13","19","11","17","4989.477838277817","","-23.837662994861603"
"DCDI","40","6","1","3","137","finished","-","achille","","2023-10-10T10:16:23.000Z","3396","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","36303159529832450","2.1778071350584464e+32","735","212","-0.14568595588207245","-0.1682339906692505","0.02254803478717804","1","-0.10700999945402144","2.6431783011791653e-22","-0.12955640256404877","0.022546403110027313","0.2253682166337967","","","1466","","","","","","","361","","","","0.6371191135734072","","","0.9583333333333334","","","","141","","","","","3385.9621698856354","275795",""
"SDCI","30","2","1","3","19","finished","-","achille","","2023-10-10T10:14:48.000Z","4411","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.8894147744661645","3401","5.646846572055092","0.1411111111111111","9.504752376188094","0","0.13401323179655436","5.602200375327581","74","68","80","-8.54303401633154","0.7567567567567568","0.8088235294117647","0.7125","0.9333333333333332","0.9166666666666666","0.95","0.9833333333333332","22","18","26","16","24","4398.254736661911","","-166.86032342910767"
"DCDI","30","2","0.75","5","46","finished","-","achille","","2023-10-10T10:14:19.000Z","5258","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","4738196701184","6.490371033723493e+24","649","182","0.17954780161380768","0.16792358458042145","0.01162421703338623","1","0.1891632080078125","2.212350134810236e-16","0.1775505393743515","0.011612668633461","0.10564256459474564","","","1295","","","","","","","95","","","","0.5473684210526316","","","0.8666666666666667","","","","51","","","","","5242.981857538223","174959",""
"DCDI","40","4","1","3","82","finished","-","achille","","2023-10-10T10:13:20.000Z","3342","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","64174933185396740","1.7422457080467572e+33","746","245","-0.151873841881752","-0.1663072109222412","0.014433369040489197","1","-0.14140228927135468","0","-0.15583281219005585","0.014430522918701172","0.14430515468120575","","","1489","","","","","","","231","","","","0.6536796536796536","","","0.94375","","","","89","","","","","3333.0326092243195","280119",""
