,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,3,3.0,0.9523809523809523,0.9090909090909091,21,3,3.0,0.9130434782608695,0.9545454545454546,23,0.00223541259765625,1
1,9,9.0,0.6923076923076923,0.9473684210526315,26,6,6.0,0.8421052631578947,0.8421052631578947,19,0.19315338134765625,2
2,10,10.0,0.7575757575757576,0.9259259259259259,33,7,7.0,0.8571428571428571,0.8888888888888888,28,0.14459991455078125,3
